num_factura,fecha_venta,producto,vendedor,cliente,cantidad
27,2024-08-31,13,50,41,2
27,2024-08-31,44,50,41,2
27,2024-08-31,53,50,41,3
27,2024-08-31,23,50,41,2
27,2024-08-31,1,50,41,2
28,2025-06-17,22,29,90,4
28,2025-06-17,38,29,90,3
28,2025-06-17,5,29,90,3
28,2025-06-17,54,29,90,3
28,2025-06-17,24,29,90,1
29,2024-04-15,24,1,48,3
29,2024-04-15,8,1,48,3
30,2022-01-02,3,18,70,2
30,2022-01-02,37,18,70,2
30,2022-01-02,30,18,70,2
31,2026-01-13,17,1,67,4
31,2026-01-13,45,1,67,1
31,2026-01-13,49,1,67,3
32,2024-08-17,50,39,79,2
32,2024-08-17,56,39,79,3
32,2024-08-17,28,39,79,3
33,2022-09-14,22,42,50,2
33,2022-09-14,21,42,50,1
34,2025-07-14,49,42,49,1
34,2025-07-14,29,42,49,3
35,2024-01-02,20,10,24,3
35,2024-01-02,11,10,24,4
36,2022-12-04,11,2,60,2
36,2022-12-04,52,2,60,1
36,2022-12-04,2,2,60,4
37,2022-01-28,3,36,32,2
37,2022-01-28,18,36,32,4
38,2025-08-26,2,3,4,1
38,2025-08-26,42,3,4,2
38,2025-08-26,33,3,4,3
38,2025-08-26,20,3,4,4
39,2022-07-04,9,22,55,4
39,2022-07-04,29,22,55,2
39,2022-07-04,47,22,55,1
39,2022-07-04,60,22,55,3
39,2022-07-04,13,22,55,4
40,2023-06-01,55,22,52,2
40,2023-06-01,26,22,52,4
40,2023-06-01,4,22,52,3
40,2023-06-01,37,22,52,1
40,2023-06-01,2,22,52,3
41,2023-11-01,1,24,100,1
41,2023-11-01,30,24,100,2
41,2023-11-01,16,24,100,2
41,2023-11-01,6,24,100,2
42,2024-06-24,43,24,59,2
42,2024-06-24,48,24,59,2
42,2024-06-24,51,24,59,2
42,2024-06-24,6,24,59,4
43,2022-06-24,35,19,13,1
44,2022-11-10,52,36,12,3
44,2022-11-10,30,36,12,3
44,2022-11-10,13,36,12,4
44,2022-11-10,24,36,12,3
44,2022-11-10,15,36,12,2
45,2024-10-01,49,20,88,2
46,2023-02-10,4,36,22,3
47,2025-10-11,37,42,8,2
48,2024-04-21,35,40,1,3
48,2024-04-21,12,40,1,4
49,2024-02-14,40,44,60,3
49,2024-02-14,11,44,60,3
50,2024-12-01,42,50,70,1
50,2024-12-01,23,50,70,2
50,2024-12-01,34,50,70,1
51,2023-09-11,21,50,7,1
51,2023-09-11,55,50,7,2
51,2023-09-11,22,50,7,1
51,2023-09-11,30,50,7,1
51,2023-09-11,19,50,7,3
52,2025-12-19,20,12,9,4
52,2025-12-19,44,12,9,1
53,2023-03-08,58,33,38,2
53,2023-03-08,45,33,38,1
53,2023-03-08,59,33,38,4
54,2023-06-23,60,40,4,4
54,2023-06-23,47,40,4,4
54,2023-06-23,52,40,4,2
54,2023-06-23,46,40,4,2
54,2023-06-23,30,40,4,2
55,2023-08-27,54,3,106,2
55,2023-08-27,4,3,106,3
55,2023-08-27,59,3,106,2
55,2023-08-27,35,3,106,2
55,2023-08-27,12,3,106,4
56,2023-03-26,47,42,80,2
56,2023-03-26,16,42,80,3
56,2023-03-26,41,42,80,3
56,2023-03-26,32,42,80,1
56,2023-03-26,8,42,80,4
57,2022-02-18,22,12,90,1
57,2022-02-18,8,12,90,2
58,2024-10-23,15,13,19,3
58,2024-10-23,7,13,19,3
59,2022-01-06,55,18,14,4
60,2024-11-07,54,2,80,3
60,2024-11-07,10,2,80,2
60,2024-11-07,31,2,80,2
60,2024-11-07,50,2,80,2
60,2024-11-07,22,2,80,3
61,2023-10-29,45,37,83,4
61,2023-10-29,1,37,83,2
61,2023-10-29,16,37,83,4
62,2022-05-06,7,31,89,3
62,2022-05-06,57,31,89,4
62,2022-05-06,34,31,89,4
62,2022-05-06,16,31,89,2
62,2022-05-06,12,31,89,2
63,2022-03-29,21,30,65,3
64,2024-12-09,21,39,46,3
64,2024-12-09,37,39,46,1
64,2024-12-09,53,39,46,4
64,2024-12-09,39,39,46,1
65,2022-05-26,39,9,110,2
65,2022-05-26,49,9,110,1
65,2022-05-26,57,9,110,2
65,2022-05-26,26,9,110,4
65,2022-05-26,32,9,110,2
66,2025-03-16,4,33,4,4
66,2025-03-16,14,33,4,2
66,2025-03-16,48,33,4,2
66,2025-03-16,19,33,4,3
66,2025-03-16,12,33,4,2
67,2022-10-02,5,9,115,4
68,2022-12-26,45,15,73,3
68,2022-12-26,37,15,73,2
69,2025-09-05,42,36,52,2
69,2025-09-05,27,36,52,1
70,2025-03-03,22,44,27,4
70,2025-03-03,25,44,27,4
71,2024-05-29,47,23,22,2
71,2024-05-29,4,23,22,4
71,2024-05-29,46,23,22,3
72,2022-11-10,30,1,12,2
73,2022-08-30,6,42,72,4
73,2022-08-30,8,42,72,3
73,2022-08-30,46,42,72,3
74,2025-08-02,54,13,3,2
74,2025-08-02,44,13,3,2
75,2024-08-07,24,14,5,3
75,2024-08-07,41,14,5,2
75,2024-08-07,47,14,5,2
75,2024-08-07,51,14,5,2
76,2025-04-27,30,23,53,2
76,2025-04-27,42,23,53,1
76,2025-04-27,29,23,53,4
76,2025-04-27,56,23,53,4
77,2025-12-08,6,7,64,4
77,2025-12-08,52,7,64,1
78,2024-01-08,3,20,22,1
78,2024-01-08,20,20,22,3
78,2024-01-08,9,20,22,1
79,2023-05-14,15,33,64,2
79,2023-05-14,28,33,64,2
79,2023-05-14,48,33,64,3
80,2025-01-02,36,49,32,3
80,2025-01-02,39,49,32,2
80,2025-01-02,27,49,32,4
80,2025-01-02,2,49,32,1
80,2025-01-02,44,49,32,3
81,2025-11-20,53,44,60,1
81,2025-11-20,10,44,60,2
81,2025-11-20,48,44,60,3
81,2025-11-20,5,44,60,2
82,2022-12-26,25,19,86,4
82,2022-12-26,46,19,86,4
82,2022-12-26,10,19,86,2
83,2025-04-12,53,7,31,2
83,2025-04-12,1,7,31,2
83,2025-04-12,28,7,31,4
83,2025-04-12,24,7,31,3
83,2025-04-12,30,7,31,1
84,2023-04-05,16,6,73,4
84,2023-04-05,17,6,73,2
84,2023-04-05,11,6,73,3
85,2023-08-17,16,10,11,2
85,2023-08-17,39,10,11,2
85,2023-08-17,48,10,11,1
86,2025-07-19,60,12,115,3
86,2025-07-19,19,12,115,1
87,2024-01-31,51,33,59,2
87,2024-01-31,42,33,59,2
87,2024-01-31,15,33,59,2
87,2024-01-31,59,33,59,1
88,2023-10-27,30,45,59,1
88,2023-10-27,51,45,59,1
88,2023-10-27,58,45,59,1
89,2025-11-20,20,26,85,4
89,2025-11-20,41,26,85,2
89,2025-11-20,51,26,85,3
90,2025-11-08,55,30,25,3
90,2025-11-08,57,30,25,2
90,2025-11-08,32,30,25,2
91,2024-02-25,6,40,78,1
91,2024-02-25,18,40,78,3
91,2024-02-25,40,40,78,3
91,2024-02-25,1,40,78,2
92,2025-05-05,14,18,34,4
92,2025-05-05,24,18,34,1
93,2022-12-20,24,47,57,3
94,2022-10-18,33,28,77,2
95,2024-12-15,23,41,90,2
95,2024-12-15,30,41,90,4
95,2024-12-15,50,41,90,4
96,2023-06-18,35,41,102,4
96,2023-06-18,11,41,102,4
96,2023-06-18,53,41,102,1
97,2022-10-28,34,27,38,2
97,2022-10-28,21,27,38,2
97,2022-10-28,18,27,38,3
97,2022-10-28,8,27,38,1
98,2022-12-19,56,21,56,1
99,2022-06-27,37,9,42,3
99,2022-06-27,24,9,42,2
100,2022-12-17,27,25,76,2
100,2022-12-17,22,25,76,3
100,2022-12-17,29,25,76,2
101,2024-04-24,60,8,69,4
101,2024-04-24,48,8,69,1
101,2024-04-24,25,8,69,4
101,2024-04-24,11,8,69,3
101,2024-04-24,36,8,69,4
102,2023-09-02,17,42,96,3
102,2023-09-02,41,42,96,2
102,2023-09-02,26,42,96,1
103,2025-11-13,31,20,120,4
103,2025-11-13,28,20,120,4
103,2025-11-13,39,20,120,2
104,2023-08-12,8,11,77,1
104,2023-08-12,19,11,77,1
105,2025-04-24,20,7,112,4
105,2025-04-24,45,7,112,1
105,2025-04-24,27,7,112,4
106,2025-06-03,45,16,72,4
106,2025-06-03,34,16,72,2
106,2025-06-03,12,16,72,3
107,2025-11-06,53,8,97,4
108,2023-08-01,12,44,103,1
109,2022-01-26,17,41,73,2
109,2022-01-26,31,41,73,2
109,2022-01-26,10,41,73,3
110,2025-08-06,23,32,44,1
110,2025-08-06,60,32,44,2
110,2025-08-06,42,32,44,4
110,2025-08-06,6,32,44,3
111,2025-12-24,19,12,31,2
111,2025-12-24,37,12,31,4
112,2023-09-17,28,44,3,2
112,2023-09-17,19,44,3,1
112,2023-09-17,50,44,3,2
112,2023-09-17,5,44,3,2
113,2022-08-07,45,38,36,1
113,2022-08-07,41,38,36,2
113,2022-08-07,40,38,36,1
113,2022-08-07,15,38,36,3
114,2023-06-16,37,37,106,2
114,2023-06-16,17,37,106,4
114,2023-06-16,9,37,106,1
114,2023-06-16,42,37,106,3
115,2024-11-26,59,50,9,4
116,2024-08-31,32,37,13,3
116,2024-08-31,44,37,13,2
116,2024-08-31,18,37,13,4
116,2024-08-31,42,37,13,4
117,2022-01-11,21,16,57,4
117,2022-01-11,30,16,57,4
118,2025-04-01,36,15,57,4
118,2025-04-01,39,15,57,4
118,2025-04-01,11,15,57,4
118,2025-04-01,26,15,57,1
119,2025-02-26,33,38,53,3
120,2023-10-26,53,49,103,2
120,2023-10-26,8,49,103,1
120,2023-10-26,36,49,103,1
120,2023-10-26,1,49,103,3
120,2023-10-26,35,49,103,3
121,2025-07-18,6,21,83,3
121,2025-07-18,58,21,83,1
122,2022-11-15,3,19,81,3
122,2022-11-15,4,19,81,2
123,2023-12-22,25,36,102,3
124,2023-10-19,41,12,99,3
124,2023-10-19,28,12,99,2
124,2023-10-19,53,12,99,2
125,2024-07-01,7,29,8,4
125,2024-07-01,40,29,8,2
125,2024-07-01,25,29,8,2
125,2024-07-01,30,29,8,1
126,2025-08-25,45,27,51,3
127,2023-12-26,56,9,114,3
127,2023-12-26,55,9,114,2
127,2023-12-26,54,9,114,1
127,2023-12-26,45,9,114,3
127,2023-12-26,3,9,114,1
128,2023-05-04,52,47,106,1
129,2024-04-22,26,13,117,2
129,2024-04-22,53,13,117,3
129,2024-04-22,25,13,117,4
130,2024-04-09,10,19,109,3
130,2024-04-09,54,19,109,4
131,2025-08-07,6,15,118,2
131,2025-08-07,35,15,118,2
131,2025-08-07,51,15,118,4
132,2023-08-30,30,43,102,1
133,2025-02-24,26,6,46,1
134,2023-03-30,34,13,47,3
134,2023-03-30,16,13,47,1
134,2023-03-30,29,13,47,1
134,2023-03-30,45,13,47,2
134,2023-03-30,60,13,47,1
135,2025-04-28,34,15,81,2
135,2025-04-28,32,15,81,1
135,2025-04-28,33,15,81,4
135,2025-04-28,45,15,81,4
136,2024-01-08,50,15,49,1
136,2024-01-08,26,15,49,3
136,2024-01-08,49,15,49,3
136,2024-01-08,3,15,49,2
136,2024-01-08,58,15,49,1
137,2024-04-08,26,30,43,3
137,2024-04-08,25,30,43,2
137,2024-04-08,28,30,43,2
138,2022-03-09,12,27,58,2
138,2022-03-09,29,27,58,4
138,2022-03-09,18,27,58,2
138,2022-03-09,8,27,58,4
138,2022-03-09,38,27,58,2
139,2022-02-14,12,4,53,2
139,2022-02-14,15,4,53,2
139,2022-02-14,18,4,53,3
139,2022-02-14,32,4,53,1
140,2024-04-27,46,43,79,1
140,2024-04-27,23,43,79,4
140,2024-04-27,49,43,79,4
141,2024-07-26,34,25,115,1
141,2024-07-26,49,25,115,4
142,2023-03-02,7,12,107,4
142,2023-03-02,12,12,107,1
142,2023-03-02,35,12,107,4
142,2023-03-02,31,12,107,3
142,2023-03-02,56,12,107,4
143,2023-12-03,41,45,69,2
143,2023-12-03,51,45,69,1
143,2023-12-03,32,45,69,2
143,2023-12-03,46,45,69,2
144,2024-01-19,49,20,15,1
144,2024-01-19,1,20,15,3
144,2024-01-19,39,20,15,4
144,2024-01-19,50,20,15,3
144,2024-01-19,24,20,15,2
145,2024-10-11,17,42,91,4
145,2024-10-11,48,42,91,3
146,2022-01-06,1,34,75,3
146,2022-01-06,47,34,75,3
147,2023-11-19,3,42,63,2
147,2023-11-19,60,42,63,2
147,2023-11-19,58,42,63,4
148,2023-09-14,37,11,84,1
148,2023-09-14,14,11,84,1
148,2023-09-14,16,11,84,4
148,2023-09-14,1,11,84,2
148,2023-09-14,7,11,84,3
149,2025-08-24,29,7,38,3
149,2025-08-24,32,7,38,4
150,2025-06-16,55,22,91,1
150,2025-06-16,34,22,91,2
150,2025-06-16,8,22,91,2
150,2025-06-16,31,22,91,1
151,2023-03-05,15,43,38,2
151,2023-03-05,25,43,38,1
151,2023-03-05,6,43,38,4
152,2023-10-22,17,18,64,2
152,2023-10-22,58,18,64,2
152,2023-10-22,25,18,64,3
152,2023-10-22,2,18,64,2
153,2022-04-24,21,5,39,1
153,2022-04-24,28,5,39,3
153,2022-04-24,8,5,39,2
153,2022-04-24,45,5,39,4
154,2023-07-15,23,4,49,3
154,2023-07-15,47,4,49,1
154,2023-07-15,48,4,49,3
155,2023-09-28,19,49,13,4
155,2023-09-28,47,49,13,3
155,2023-09-28,41,49,13,2
155,2023-09-28,49,49,13,1
156,2022-11-11,32,24,104,2
157,2025-03-16,55,33,112,4
157,2025-03-16,22,33,112,3
157,2025-03-16,40,33,112,1
157,2025-03-16,4,33,112,3
157,2025-03-16,21,33,112,1
158,2024-07-12,51,3,48,3
158,2024-07-12,15,3,48,3
158,2024-07-12,29,3,48,1
158,2024-07-12,3,3,48,2
159,2023-12-22,12,34,5,3
160,2023-09-09,17,34,61,3
160,2023-09-09,38,34,61,1
160,2023-09-09,51,34,61,2
160,2023-09-09,55,34,61,4
161,2025-09-16,47,50,22,3
162,2023-06-12,36,21,44,1
162,2023-06-12,4,21,44,1
163,2025-07-21,17,21,3,3
163,2025-07-21,31,21,3,4
163,2025-07-21,13,21,3,2
163,2025-07-21,60,21,3,4
164,2024-09-07,22,7,46,2
164,2024-09-07,46,7,46,3
164,2024-09-07,10,7,46,2
165,2025-04-03,58,44,8,4
166,2023-06-24,38,30,12,1
167,2024-08-27,36,24,88,2
167,2024-08-27,9,24,88,1
167,2024-08-27,22,24,88,4
167,2024-08-27,3,24,88,4
167,2024-08-27,50,24,88,3
168,2024-08-16,16,22,85,3
169,2024-08-08,27,13,51,2
169,2024-08-08,3,13,51,4
169,2024-08-08,33,13,51,1
169,2024-08-08,49,13,51,1
169,2024-08-08,38,13,51,1
170,2023-06-12,14,26,106,4
170,2023-06-12,40,26,106,3
170,2023-06-12,15,26,106,2
171,2023-06-30,32,37,110,4
172,2022-12-25,37,35,76,4
172,2022-12-25,26,35,76,3
172,2022-12-25,59,35,76,3
172,2022-12-25,11,35,76,3
173,2024-09-18,36,41,107,1
173,2024-09-18,4,41,107,3
173,2024-09-18,51,41,107,2
174,2023-11-13,43,43,64,1
174,2023-11-13,11,43,64,1
174,2023-11-13,25,43,64,4
175,2023-05-04,47,2,30,3
175,2023-05-04,59,2,30,3
175,2023-05-04,10,2,30,2
175,2023-05-04,15,2,30,1
176,2023-12-26,47,16,84,1
176,2023-12-26,53,16,84,1
176,2023-12-26,5,16,84,2
176,2023-12-26,38,16,84,4
177,2025-05-23,13,24,105,1
178,2025-10-02,49,27,74,4
178,2025-10-02,15,27,74,2
178,2025-10-02,45,27,74,1
178,2025-10-02,6,27,74,2
178,2025-10-02,42,27,74,1
179,2022-10-10,3,27,35,3
179,2022-10-10,51,27,35,2
179,2022-10-10,17,27,35,2
179,2022-10-10,10,27,35,1
179,2022-10-10,31,27,35,1
180,2024-03-30,39,18,13,1
180,2024-03-30,31,18,13,2
180,2024-03-30,48,18,13,2
180,2024-03-30,11,18,13,2
180,2024-03-30,38,18,13,4
181,2023-08-31,33,5,58,3
181,2023-08-31,50,5,58,1
182,2022-01-21,56,39,18,3
183,2025-09-01,37,42,64,1
183,2025-09-01,48,42,64,2
183,2025-09-01,31,42,64,4
183,2025-09-01,2,42,64,1
184,2025-01-24,46,8,88,3
184,2025-01-24,37,8,88,1
184,2025-01-24,33,8,88,4
185,2022-10-23,55,37,32,4
185,2022-10-23,56,37,32,1
186,2025-07-05,3,41,72,1
186,2025-07-05,20,41,72,3
186,2025-07-05,56,41,72,1
187,2025-11-26,35,19,23,3
187,2025-11-26,14,19,23,3
187,2025-11-26,57,19,23,4
187,2025-11-26,45,19,23,4
187,2025-11-26,7,19,23,2
188,2022-09-04,19,33,77,1
188,2022-09-04,36,33,77,1
188,2022-09-04,44,33,77,1
188,2022-09-04,51,33,77,4
189,2025-06-06,17,36,90,1
189,2025-06-06,35,36,90,4
189,2025-06-06,56,36,90,4
190,2023-04-27,60,20,1,3
190,2023-04-27,44,20,1,4
190,2023-04-27,55,20,1,3
191,2023-09-20,14,7,33,1
191,2023-09-20,56,7,33,4
191,2023-09-20,54,7,33,1
192,2023-06-19,54,12,56,2
192,2023-06-19,34,12,56,1
192,2023-06-19,31,12,56,3
193,2023-05-02,7,2,17,4
193,2023-05-02,30,2,17,1
194,2023-07-18,20,42,105,4
195,2023-03-30,58,24,48,1
196,2024-04-18,24,17,66,4
196,2024-04-18,16,17,66,2
197,2025-09-16,6,43,55,1
198,2024-12-06,13,33,111,4
198,2024-12-06,25,33,111,2
198,2024-12-06,8,33,111,4
199,2023-12-14,50,26,12,2
199,2023-12-14,37,26,12,2
199,2023-12-14,5,26,12,1
200,2023-10-20,37,28,24,2
200,2023-10-20,20,28,24,3
200,2023-10-20,6,28,24,1
200,2023-10-20,17,28,24,1
201,2023-10-31,34,14,14,2
201,2023-10-31,8,14,14,1
201,2023-10-31,28,14,14,4
202,2022-05-26,30,6,59,4
202,2022-05-26,31,6,59,2
202,2022-05-26,39,6,59,2
203,2024-11-17,35,41,105,2
203,2024-11-17,55,41,105,2
203,2024-11-17,40,41,105,4
204,2025-09-11,22,47,108,1
204,2025-09-11,53,47,108,2
204,2025-09-11,39,47,108,4
205,2023-04-18,18,32,39,1
205,2023-04-18,7,32,39,3
205,2023-04-18,17,32,39,1
205,2023-04-18,9,32,39,1
205,2023-04-18,12,32,39,4
206,2023-05-31,49,2,51,4
206,2023-05-31,38,2,51,1
206,2023-05-31,8,2,51,1
206,2023-05-31,13,2,51,3
207,2022-01-22,6,15,93,1
207,2022-01-22,57,15,93,2
207,2022-01-22,11,15,93,4
207,2022-01-22,54,15,93,1
208,2022-06-05,56,35,71,3
208,2022-06-05,14,35,71,1
209,2023-10-24,49,31,96,3
210,2022-11-25,31,47,2,1
210,2022-11-25,20,47,2,4
210,2022-11-25,33,47,2,4
210,2022-11-25,24,47,2,4
211,2024-03-20,5,36,117,2
211,2024-03-20,13,36,117,3
211,2024-03-20,53,36,117,4
212,2024-04-10,30,34,29,2
213,2024-03-07,50,20,22,2
213,2024-03-07,17,20,22,1
213,2024-03-07,10,20,22,3
213,2024-03-07,52,20,22,4
214,2022-07-21,40,14,119,1
214,2022-07-21,41,14,119,2
215,2024-03-20,9,26,74,2
215,2024-03-20,1,26,74,3
215,2024-03-20,25,26,74,1
216,2023-09-18,33,7,5,3
216,2023-09-18,25,7,5,4
216,2023-09-18,57,7,5,1
216,2023-09-18,10,7,5,2
216,2023-09-18,1,7,5,1
217,2022-03-29,35,32,82,2
217,2022-03-29,40,32,82,3
217,2022-03-29,20,32,82,3
217,2022-03-29,51,32,82,2
218,2023-02-08,5,4,109,4
218,2023-02-08,11,4,109,2
218,2023-02-08,8,4,109,4
219,2023-11-12,26,31,48,1
219,2023-11-12,50,31,48,3
220,2023-11-02,18,4,70,3
221,2023-06-03,59,1,38,1
221,2023-06-03,35,1,38,4
221,2023-06-03,7,1,38,4
221,2023-06-03,3,1,38,3
222,2025-01-28,28,40,82,4
222,2025-01-28,44,40,82,4
222,2025-01-28,25,40,82,2
222,2025-01-28,50,40,82,1
223,2022-09-10,43,6,19,3
223,2022-09-10,6,6,19,4
223,2022-09-10,12,6,19,2
223,2022-09-10,29,6,19,4
224,2024-06-02,16,12,104,4
225,2022-12-28,38,22,51,1
225,2022-12-28,59,22,51,4
225,2022-12-28,8,22,51,3
226,2025-11-13,31,4,73,4
227,2024-03-20,29,38,19,1
227,2024-03-20,36,38,19,3
227,2024-03-20,24,38,19,2
227,2024-03-20,22,38,19,2
228,2025-07-19,8,45,52,2
228,2025-07-19,10,45,52,3
228,2025-07-19,16,45,52,4
228,2025-07-19,49,45,52,2
229,2025-02-17,2,3,29,3
229,2025-02-17,7,3,29,4
229,2025-02-17,59,3,29,2
229,2025-02-17,10,3,29,2
229,2025-02-17,46,3,29,1
230,2022-03-27,34,23,99,1
230,2022-03-27,7,23,99,4
230,2022-03-27,45,23,99,1
231,2022-07-11,41,45,63,4
231,2022-07-11,44,45,63,1
232,2024-05-23,55,44,32,3
232,2024-05-23,19,44,32,4
232,2024-05-23,33,44,32,4
232,2024-05-23,2,44,32,4
232,2024-05-23,20,44,32,3
233,2024-03-09,42,13,26,1
233,2024-03-09,33,13,26,2
233,2024-03-09,12,13,26,3
233,2024-03-09,55,13,26,1
234,2024-01-01,33,5,10,2
234,2024-01-01,12,5,10,1
234,2024-01-01,51,5,10,1
234,2024-01-01,31,5,10,4
234,2024-01-01,13,5,10,3
235,2024-05-12,34,4,111,4
235,2024-05-12,13,4,111,2
235,2024-05-12,3,4,111,1
235,2024-05-12,12,4,111,4
236,2023-10-12,58,5,67,3
236,2023-10-12,47,5,67,1
236,2023-10-12,51,5,67,3
236,2023-10-12,2,5,67,3
236,2023-10-12,27,5,67,2
237,2024-08-08,8,8,36,4
237,2024-08-08,9,8,36,3
237,2024-08-08,35,8,36,1
237,2024-08-08,28,8,36,2
238,2025-07-13,59,48,70,4
239,2025-07-09,10,12,88,1
239,2025-07-09,7,12,88,3
240,2022-04-04,23,41,58,1
240,2022-04-04,10,41,58,2
240,2022-04-04,8,41,58,2
240,2022-04-04,7,41,58,3
240,2022-04-04,35,41,58,3
241,2025-06-21,39,16,22,4
241,2025-06-21,22,16,22,3
241,2025-06-21,45,16,22,3
241,2025-06-21,56,16,22,3
242,2023-10-22,12,21,22,4
242,2023-10-22,38,21,22,2
243,2025-04-03,2,42,61,3
243,2025-04-03,24,42,61,4
243,2025-04-03,27,42,61,2
243,2025-04-03,12,42,61,2
244,2023-11-25,39,14,91,3
244,2023-11-25,17,14,91,3
244,2023-11-25,18,14,91,3
244,2023-11-25,16,14,91,2
245,2022-10-02,25,39,12,2
245,2022-10-02,27,39,12,4
245,2022-10-02,13,39,12,1
245,2022-10-02,54,39,12,4
245,2022-10-02,39,39,12,1
246,2024-03-11,45,25,108,4
246,2024-03-11,31,25,108,4
246,2024-03-11,47,25,108,1
246,2024-03-11,39,25,108,3
247,2024-03-13,55,28,120,3
247,2024-03-13,3,28,120,4
247,2024-03-13,12,28,120,3
247,2024-03-13,42,28,120,2
248,2022-05-07,8,12,25,3
248,2022-05-07,37,12,25,2
248,2022-05-07,57,12,25,1
248,2022-05-07,39,12,25,4
249,2022-08-13,34,35,3,2
250,2025-05-23,19,40,69,1
250,2025-05-23,4,40,69,1
250,2025-05-23,47,40,69,2
250,2025-05-23,49,40,69,4
251,2022-05-18,2,4,58,4
251,2022-05-18,51,4,58,1
251,2022-05-18,31,4,58,3
251,2022-05-18,9,4,58,3
251,2022-05-18,45,4,58,1
252,2022-12-22,38,10,86,1
252,2022-12-22,45,10,86,2
253,2024-12-22,37,46,10,2
254,2023-06-04,47,34,47,3
254,2023-06-04,50,34,47,2
254,2023-06-04,12,34,47,2
254,2023-06-04,31,34,47,1
254,2023-06-04,39,34,47,1
255,2025-06-18,5,24,41,4
255,2025-06-18,8,24,41,2
255,2025-06-18,33,24,41,3
255,2025-06-18,58,24,41,4
256,2025-06-04,44,30,105,1
256,2025-06-04,58,30,105,4
256,2025-06-04,8,30,105,3
257,2022-05-21,60,25,89,1
257,2022-05-21,11,25,89,2
257,2022-05-21,56,25,89,4
257,2022-05-21,26,25,89,1
257,2022-05-21,39,25,89,1
258,2025-11-06,41,26,8,2
258,2025-11-06,11,26,8,1
258,2025-11-06,50,26,8,1
259,2023-08-25,31,41,75,2
259,2023-08-25,30,41,75,1
260,2022-06-25,46,19,64,3
260,2022-06-25,17,19,64,4
260,2022-06-25,22,19,64,2
260,2022-06-25,3,19,64,2
260,2022-06-25,7,19,64,3
261,2024-03-29,44,32,62,4
261,2024-03-29,28,32,62,3
261,2024-03-29,34,32,62,1
262,2025-11-29,60,35,17,3
262,2025-11-29,54,35,17,4
262,2025-11-29,12,35,17,4
262,2025-11-29,45,35,17,4
263,2024-03-04,32,7,24,1
263,2024-03-04,34,7,24,1
263,2024-03-04,52,7,24,2
263,2024-03-04,60,7,24,1
263,2024-03-04,28,7,24,1
264,2023-04-11,9,20,10,1
264,2023-04-11,53,20,10,2
265,2023-02-07,52,30,24,1
265,2023-02-07,26,30,24,4
265,2023-02-07,22,30,24,3
265,2023-02-07,53,30,24,2
266,2023-02-03,9,11,71,1
267,2024-03-31,27,5,19,1
267,2024-03-31,60,5,19,1
